Listening on port 8333
{u'lastRequest': 34, u'lastquality': 3, u'deviceTime': 1552328775521, u'lastChunkStartTime': 1552328771039, u'buffer': 59.43808600000001, u'nextChunkSize': [2143948, 1439896, 943942, 598727, 365161, 159914], u'bandwidthEst': 8951.135353865124, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 2014, u'corruptedFrames': 0, u'time': 83203}, u'lastChunkFinishTime': 1552328771916, u'videoPlayed': 80.807111, u'Type': u'BB', u'lastChunkSize': 1026056}
{u'lastRequest': 35, u'lastquality': 3, u'deviceTime': 1552328779119, u'lastChunkStartTime': 1552328775675, u'buffer': 59.805419000000015, u'nextChunkSize': [1919781, 1139291, 728962, 487812, 321064, 131610], u'bandwidthEst': 9002.855568774281, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 2104, u'corruptedFrames': 0, u'time': 86831}, u'lastChunkFinishTime': 1552328776518, u'videoPlayed': 84.396021, u'Type': u'BB', u'lastChunkSize': 943942}
{u'lastRequest': 36, u'lastquality': 3, u'deviceTime': 1552328783033, u'lastChunkStartTime': 1552328779287, u'buffer': 59.85298500000002, u'nextChunkSize': [2147467, 1499009, 938587, 575591, 361565, 124011], u'bandwidthEst': 8990.61451832248, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 2203, u'corruptedFrames': 0, u'time': 90783}, u'lastChunkFinishTime': 1552328779949, u'videoPlayed': 88.308972, u'Type': u'BB', u'lastChunkSize': 728962}
{u'lastRequest': 37, u'lastquality': 3, u'deviceTime': 1552328787107, u'lastChunkStartTime': 1552328783188, u'buffer': 59.891756000000015, u'nextChunkSize': [2133870, 1427478, 908665, 605884, 378327, 144254], u'bandwidthEst': 9014.755913649806, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 2302, u'corruptedFrames': 0, u'time': 94744}, u'lastChunkFinishTime': 1552328784035, u'videoPlayed': 92.391295, u'Type': u'BB', u'lastChunkSize': 938587}
{u'lastRequest': 38, u'lastquality': 3, u'deviceTime': 1552328791163, u'lastChunkStartTime': 1552328787277, u'buffer': 59.69413800000001, u'nextChunkSize': [2146120, 1402287, 930577, 587506, 390680, 149991], u'bandwidthEst': 8986.956908468033, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 2407, u'corruptedFrames': 0, u'time': 98942}, u'lastChunkFinishTime': 1552328788093, u'videoPlayed': 96.426842, u'Type': u'BB', u'lastChunkSize': 908665}
{u'lastRequest': 39, u'lastquality': 3, u'deviceTime': 1552328795251, u'lastChunkStartTime': 1552328791319, u'buffer': 59.761797000000016, u'nextChunkSize': [2108491, 1339500, 858450, 566904, 345516, 147968], u'bandwidthEst': 8881.204017365248, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 2505, u'corruptedFrames': 0, u'time': 102874}, u'lastChunkFinishTime': 1552328792160, u'videoPlayed': 100.522406, u'Type': u'BB', u'lastChunkSize': 930577}
{u'lastRequest': 40, u'lastquality': 3, u'deviceTime': 1552328799301, u'lastChunkStartTime': 1552328795404, u'buffer': 59.52453900000002, u'nextChunkSize': [2184571, 1527299, 1025005, 641452, 384505, 161857], u'bandwidthEst': 8829.262425252758, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 2611, u'corruptedFrames': 0, u'time': 107111}, u'lastChunkFinishTime': 1552328796193, u'videoPlayed': 104.597019, u'Type': u'BB', u'lastChunkSize': 858450}
{u'lastRequest': 41, u'lastquality': 3, u'deviceTime': 1552328802928, u'lastChunkStartTime': 1552328799453, u'buffer': 59.92701500000001, u'nextChunkSize': [2121928, 1343002, 886255, 599477, 372093, 145210], u'bandwidthEst': 8873.231856734645, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 2701, u'corruptedFrames': 0, u'time': 110709}, u'lastChunkFinishTime': 1552328800362, u'videoPlayed': 108.193157, u'Type': u'BB', u'lastChunkSize': 1025005}
{u'lastRequest': 42, u'lastquality': 3, u'deviceTime': 1552328806969, u'lastChunkStartTime': 1552328803081, u'buffer': 59.94209000000001, u'nextChunkSize': [2219102, 1587250, 973972, 634861, 438281, 172312], u'bandwidthEst': 8896.186631350709, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 2801, u'corruptedFrames': 0, u'time': 114693}, u'lastChunkFinishTime': 1552328803870, u'videoPlayed': 112.222114, u'Type': u'BB', u'lastChunkSize': 886255}
{u'lastRequest': 43, u'lastquality': 3, u'deviceTime': 1552328811129, u'lastChunkStartTime': 1552328807152, u'buffer': 59.789648000000014, u'nextChunkSize': [2124950, 1464921, 958994, 630203, 398987, 167025], u'bandwidthEst': 8880.75929171448, u'RebufferTime': 986, u'droppedFrames': {u'droppedFrames': 0, u'totalFrames': 2905, u'corruptedFrames': 0, u'time': 118848}, u'lastChunkFinishTime': 1552328808034, u'videoPlayed': 116.415529, u'Type': u'BB', u'lastChunkSize': 973972}
