Listening on port 8333
{u'lastRequest': 32, u'lastquality': 0, u'deviceTime': 1527279517212, u'lastChunkStartTime': 1527279515618, u'buffer': 31.25885000000001, u'nextChunkSize': [2286761, 1587293, 1035329, 670129, 412837, 163444], u'bandwidthEst': 634.4418505606264, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 70, u'totalFrames': 2516, u'corruptedFrames': 0, u'time': 122985}, u'lastChunkFinishTime': 1527279517193, u'videoPlayed': 100.862336, u'Type': u'RB', u'lastChunkSize': 143881}
{u'lastRequest': 33, u'lastquality': 0, u'deviceTime': 1527279518699, u'lastChunkStartTime': 1527279517340, u'buffer': 33.75421300000001, u'nextChunkSize': [2307787, 1492672, 1026056, 690253, 401088, 179328], u'bandwidthEst': 610.5825812231334, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 70, u'totalFrames': 2552, u'corruptedFrames': 0, u'time': 124408}, u'lastChunkFinishTime': 1527279518679, u'videoPlayed': 102.325787, u'Type': u'RB', u'lastChunkSize': 163444}
{u'lastRequest': 34, u'lastquality': 0, u'deviceTime': 1527279520156, u'lastChunkStartTime': 1527279518820, u'buffer': 36.289991000000015, u'nextChunkSize': [2143948, 1439896, 943942, 598727, 365161, 159914], u'bandwidthEst': 667.8670260520328, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 70, u'totalFrames': 2587, u'corruptedFrames': 0, u'time': 125834}, u'lastChunkFinishTime': 1527279520137, u'videoPlayed': 103.790009, u'Type': u'RB', u'lastChunkSize': 179328}
{u'lastRequest': 35, u'lastquality': 0, u'deviceTime': 1527279521422, u'lastChunkStartTime': 1527279520271, u'buffer': 39.02191100000002, u'nextChunkSize': [1919781, 1139291, 728962, 487812, 321064, 131610], u'bandwidthEst': 812.9311300288686, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 70, u'totalFrames': 2622, u'corruptedFrames': 0, u'time': 127219}, u'lastChunkFinishTime': 1527279521394, u'videoPlayed': 105.058089, u'Type': u'RB', u'lastChunkSize': 159914}
{u'lastRequest': 36, u'lastquality': 1, u'deviceTime': 1527279523545, u'lastChunkStartTime': 1527279521563, u'buffer': 40.90535700000001, u'nextChunkSize': [2147467, 1499009, 938587, 575591, 361565, 124011], u'bandwidthEst': 1013.851403082044, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 70, u'totalFrames': 2677, u'corruptedFrames': 0, u'time': 129424}, u'lastChunkFinishTime': 1527279523518, u'videoPlayed': 107.174643, u'Type': u'RB', u'lastChunkSize': 321064}
{u'lastRequest': 37, u'lastquality': 1, u'deviceTime': 1527279525611, u'lastChunkStartTime': 1527279523666, u'buffer': 42.86263500000001, u'nextChunkSize': [2133870, 1427478, 908665, 605884, 378327, 144254], u'bandwidthEst': 1209.8310567171054, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 76, u'totalFrames': 2727, u'corruptedFrames': 0, u'time': 131421}, u'lastChunkFinishTime': 1527279525582, u'videoPlayed': 109.257834, u'Type': u'RB', u'lastChunkSize': 361565}
{u'lastRequest': 38, u'lastquality': 2, u'deviceTime': 1527279528646, u'lastChunkStartTime': 1527279525745, u'buffer': 43.82876700000001, u'nextChunkSize': [2146120, 1402287, 930577, 587506, 390680, 149991], u'bandwidthEst': 1381.6522822334778, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 76, u'totalFrames': 2798, u'corruptedFrames': 0, u'time': 134253}, u'lastChunkFinishTime': 1527279528601, u'videoPlayed': 112.292014, u'Type': u'RB', u'lastChunkSize': 605884}
{u'lastRequest': 39, u'lastquality': 2, u'deviceTime': 1527279531835, u'lastChunkStartTime': 1527279528806, u'buffer': 44.651240000000016, u'nextChunkSize': [2108491, 1339500, 858450, 566904, 345516, 147968], u'bandwidthEst': 1483.103209322269, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 76, u'totalFrames': 2884, u'corruptedFrames': 0, u'time': 137690}, u'lastChunkFinishTime': 1527279531764, u'videoPlayed': 115.469983, u'Type': u'RB', u'lastChunkSize': 587506}
{u'lastRequest': 40, u'lastquality': 2, u'deviceTime': 1527279535625, u'lastChunkStartTime': 1527279531981, u'buffer': 44.847149000000016, u'nextChunkSize': [2184571, 1527299, 1025005, 641452, 384505, 161857], u'bandwidthEst': 1450.728700887244, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 76, u'totalFrames': 2975, u'corruptedFrames': 0, u'time': 141358}, u'lastChunkFinishTime': 1527279535579, u'videoPlayed': 119.273195, u'Type': u'RB', u'lastChunkSize': 566904}
{u'lastRequest': 41, u'lastquality': 2, u'deviceTime': 1527279541605, u'lastChunkStartTime': 1527279535780, u'buffer': 42.84755100000001, u'nextChunkSize': [2121928, 1343002, 886255, 599477, 372093, 145210], u'bandwidthEst': 1207.5967453054488, u'RebufferTime': 19565, u'droppedFrames': {u'droppedFrames': 79, u'totalFrames': 3124, u'corruptedFrames': 0, u'time': 147315}, u'lastChunkFinishTime': 1527279541552, u'videoPlayed': 125.232449, u'Type': u'RB', u'lastChunkSize': 641452}
