Listening on port 8333
{u'lastRequest': 34, u'lastquality': 0, u'deviceTime': 1527281240902, u'lastChunkStartTime': 1527281238733, u'buffer': 31.092482000000018, u'bufferAdjusted': 26.54248200000002, u'nextChunkSize': [2143948, 1439896, 943942, 598727, 365161, 159914], u'bandwidthEst': 610.9533918083779, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 39, u'totalFrames': 2712, u'corruptedFrames': 0, u'time': 120075}, u'lastChunkFinishTime': 1527281240879, u'videoPlayed': 108.987518, u'Type': u'ABR', u'lastChunkSize': 179328}
{u'lastRequest': 35, u'lastquality': 0, u'deviceTime': 1527281243221, u'lastChunkStartTime': 1527281241053, u'buffer': 32.76522700000001, u'bufferAdjusted': 28.215227000000013, u'nextChunkSize': [1919781, 1139291, 728962, 487812, 321064, 131610], u'bandwidthEst': 587.6229740161658, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 39, u'totalFrames': 2769, u'corruptedFrames': 0, u'time': 122362}, u'lastChunkFinishTime': 1527281243198, u'videoPlayed': 111.314773, u'Type': u'ABR', u'lastChunkSize': 159914}
{u'lastRequest': 36, u'lastquality': 0, u'deviceTime': 1527281245050, u'lastChunkStartTime': 1527281243398, u'buffer': 34.93832800000001, u'bufferAdjusted': 30.388328000000016, u'nextChunkSize': [2147467, 1499009, 938587, 575591, 361565, 124011], u'bandwidthEst': 573.1148478524859, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 43, u'totalFrames': 2811, u'corruptedFrames': 0, u'time': 124025}, u'lastChunkFinishTime': 1527281245028, u'videoPlayed': 113.141672, u'Type': u'ABR', u'lastChunkSize': 131610}
{u'lastRequest': 37, u'lastquality': 0, u'deviceTime': 1527281246488, u'lastChunkStartTime': 1527281245218, u'buffer': 37.50966600000001, u'bufferAdjusted': 32.95966600000001, u'nextChunkSize': [2133870, 1427478, 908665, 605884, 378327, 144254], u'bandwidthEst': 570.0729948131332, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 43, u'totalFrames': 2853, u'corruptedFrames': 0, u'time': 125700}, u'lastChunkFinishTime': 1527281246470, u'videoPlayed': 114.570334, u'Type': u'ABR', u'lastChunkSize': 124011}
{u'lastRequest': 38, u'lastquality': 0, u'deviceTime': 1527281247773, u'lastChunkStartTime': 1527281246656, u'buffer': 40.20933600000001, u'bufferAdjusted': 35.65933600000001, u'nextChunkSize': [2146120, 1402287, 930577, 587506, 390680, 149991], u'bandwidthEst': 691.8584533214381, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 43, u'totalFrames': 2881, u'corruptedFrames': 0, u'time': 126836}, u'lastChunkFinishTime': 1527281247754, u'videoPlayed': 115.870664, u'Type': u'ABR', u'lastChunkSize': 144254}
{u'lastRequest': 39, u'lastquality': 0, u'deviceTime': 1527281249068, u'lastChunkStartTime': 1527281247928, u'buffer': 42.94596100000001, u'bufferAdjusted': 38.395961000000014, u'nextChunkSize': [2108491, 1339500, 858450, 566904, 345516, 147968], u'bandwidthEst': 741.121340592593, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 43, u'totalFrames': 2917, u'corruptedFrames': 0, u'time': 128264}, u'lastChunkFinishTime': 1527281249019, u'videoPlayed': 117.134039, u'Type': u'ABR', u'lastChunkSize': 149991}
{u'lastRequest': 40, u'lastquality': 0, u'deviceTime': 1527281250281, u'lastChunkStartTime': 1527281249227, u'buffer': 45.726483000000016, u'bufferAdjusted': 41.17648300000002, u'nextChunkSize': [2184571, 1527299, 1025005, 641452, 384505, 161857], u'bandwidthEst': 866.8526463749484, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 43, u'totalFrames': 2945, u'corruptedFrames': 0, u'time': 129403}, u'lastChunkFinishTime': 1527281250260, u'videoPlayed': 118.353517, u'Type': u'ABR', u'lastChunkSize': 147968}
{u'lastRequest': 41, u'lastquality': 2, u'deviceTime': 1527281254224, u'lastChunkStartTime': 1527281250467, u'buffer': 45.78747700000001, u'bufferAdjusted': 41.23747700000001, u'nextChunkSize': [2121928, 1343002, 886255, 599477, 372093, 145210], u'bandwidthEst': 1138.753224955106, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 43, u'totalFrames': 3045, u'corruptedFrames': 0, u'time': 133381}, u'lastChunkFinishTime': 1527281254153, u'videoPlayed': 122.292523, u'Type': u'ABR', u'lastChunkSize': 641452}
{u'lastRequest': 42, u'lastquality': 2, u'deviceTime': 1527281257333, u'lastChunkStartTime': 1527281254428, u'buffer': 46.704408000000015, u'bufferAdjusted': 42.15440800000002, u'nextChunkSize': [2219102, 1587250, 973972, 634861, 438281, 172312], u'bandwidthEst': 1341.6328409457956, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 43, u'totalFrames': 3123, u'corruptedFrames': 0, u'time': 136515}, u'lastChunkFinishTime': 1527281257264, u'videoPlayed': 125.416171, u'Type': u'ABR', u'lastChunkSize': 599477}
{u'lastRequest': 43, u'lastquality': 2, u'deviceTime': 1527281260731, u'lastChunkStartTime': 1527281257525, u'buffer': 47.28974500000001, u'bufferAdjusted': 42.73974500000001, u'nextChunkSize': [2124950, 1464921, 958994, 630203, 398987, 167025], u'bandwidthEst': 1442.826351587085, u'RebufferTime': 7499, u'droppedFrames': {u'droppedFrames': 43, u'totalFrames': 3208, u'corruptedFrames': 0, u'time': 139929}, u'lastChunkFinishTime': 1527281260682, u'videoPlayed': 128.830426, u'Type': u'ABR', u'lastChunkSize': 634861}
